12:24:23: Warning:QMetaObject::connectSlotsByName: No matching signal for on_pushButton_clicked()
12:24:23: Debug:mac: "708BCD81C560"
12:24:25: Debug:taskList lists: 0x27006a0
12:24:25: Debug:taskList lists: 0x27006b0
12:24:27: Debug:upload phone info "[]"
12:24:27: Debug:upload phone info "[]"
12:24:31: Debug:upload phone info "[]"
12:24:31: Debug:upload phone info "[]"
12:24:35: Debug:upload phone info "[]"
12:24:35: Debug:upload phone info "[]"
12:24:35: Debug:conn server
12:24:35: Debug:tcp connected--------------------------
12:24:35: Debug:show
12:24:35: Debug:data: 2323040000
12:24:35: Debug:send data: "2323040000"
12:24:39: Debug:upload phone info "[]"
12:24:39: Debug:upload phone info "[]"
12:24:43: Debug:upload phone info "[]"
12:24:43: Debug:upload phone info "[]"
12:24:47: Debug:upload phone info "[]"
12:24:47: Debug:upload phone info "[]"
12:24:51: Debug:upload phone info "[]"
12:24:51: Debug:upload phone info "[]"
12:24:55: Debug:upload phone info "[]"
12:24:55: Debug:upload phone info "[]"
12:24:59: Debug:upload phone info "[]"
12:24:59: Debug:upload phone info "[]"
12:25:03: Debug:upload phone info "[]"
12:25:03: Debug:upload phone info "[]"
12:25:07: Debug:upload phone info "[]"
12:25:07: Debug:upload phone info "[]"
12:25:11: Debug:upload phone info "[]"
12:25:11: Debug:upload phone info "[]"
12:25:15: Debug:upload phone info "[]"
12:25:15: Debug:upload phone info "[]"
12:25:19: Debug:upload phone info "[]"
12:25:19: Debug:upload phone info "[]"
12:25:23: Debug:upload phone info "[]"
12:25:23: Debug:upload phone info "[]"
12:25:27: Debug:upload phone info "[]"
12:25:27: Debug:upload phone info "[]"
12:25:31: Debug:upload phone info "[]"
12:25:31: Debug:upload phone info "[]"
12:25:35: Debug:upload phone info "[]"
12:25:35: Debug:upload phone info "[]"
12:25:39: Debug:upload phone info "[]"
12:25:39: Debug:upload phone info "[]"
12:25:43: Debug:upload phone info "[]"
12:25:43: Debug:upload phone info "[]"
12:25:47: Debug:upload phone info "[]"
12:25:47: Debug:upload phone info "[]"
12:25:51: Debug:upload phone info "[]"
12:25:51: Debug:upload phone info "[]"
12:25:55: Debug:upload phone info "[]"
12:25:55: Debug:upload phone info "[]"
12:25:59: Debug:upload phone info "[]"
12:25:59: Debug:upload phone info "[]"
12:26:03: Debug:upload phone info "[]"
12:26:03: Debug:upload phone info "[]"
12:26:07: Debug:upload phone info "[]"
12:26:07: Debug:upload phone info "[]"
12:26:11: Debug:upload phone info "[]"
12:26:11: Debug:upload phone info "[]"
12:26:15: Debug:upload phone info "[]"
12:26:15: Debug:upload phone info "[]"
12:26:19: Debug:upload phone info "[]"
12:26:19: Debug:upload phone info "[]"
12:26:23: Debug:upload phone info "[]"
12:26:23: Debug:upload phone info "[]"
12:26:27: Debug:upload phone info "[]"
12:26:27: Debug:upload phone info "[]"
12:26:31: Debug:upload phone info "[]"
12:26:31: Debug:upload phone info "[]"
12:26:35: Debug:upload phone info "[]"
12:26:35: Debug:upload phone info "[]"
12:26:39: Debug:upload phone info "[]"
12:26:39: Debug:upload phone info "[]"
12:26:43: Debug:upload phone info "[]"
12:26:43: Debug:upload phone info "[]"
12:26:47: Debug:upload phone info "[]"
12:26:47: Debug:upload phone info "[]"
12:26:51: Debug:upload phone info "[]"
12:26:51: Debug:upload phone info "[]"
12:26:55: Debug:upload phone info "[]"
12:26:55: Debug:upload phone info "[]"
12:26:59: Debug:upload phone info "[]"
12:26:59: Debug:upload phone info "[]"
12:27:03: Debug:upload phone info "[]"
12:27:03: Debug:upload phone info "[]"
12:27:07: Debug:upload phone info "[]"
12:27:07: Debug:upload phone info "[]"
12:27:11: Debug:upload phone info "[]"
12:27:11: Debug:upload phone info "[]"
12:27:15: Debug:upload phone info "[]"
12:27:15: Debug:upload phone info "[]"
12:27:19: Debug:upload phone info "[]"
12:27:19: Debug:upload phone info "[]"
12:27:23: Debug:upload phone info "[]"
12:27:23: Debug:upload phone info "[]"
12:27:27: Debug:upload phone info "[]"
12:27:27: Debug:upload phone info "[]"
12:27:31: Debug:upload phone info "[]"
12:27:31: Debug:upload phone info "[]"
12:27:35: Debug:upload phone info "[]"
12:27:35: Debug:upload phone info "[]"
12:27:40: Debug:upload phone info "[]"
12:27:40: Debug:upload phone info "[]"
12:27:43: Debug:upload phone info "[]"
12:27:43: Debug:upload phone info "[]"
12:27:48: Debug:upload phone info "[]"
12:27:48: Debug:upload phone info "[]"
12:27:52: Debug:upload phone info "[]"
12:27:52: Debug:upload phone info "[]"
12:27:56: Debug:upload phone info "[]"
12:27:56: Debug:upload phone info "[]"
12:28:00: Debug:upload phone info "[]"
12:28:00: Debug:upload phone info "[]"
12:28:04: Debug:upload phone info "[]"
12:28:04: Debug:upload phone info "[]"
12:28:08: Debug:upload phone info "[]"
12:28:08: Debug:upload phone info "[]"
12:28:12: Debug:upload phone info "[]"
12:28:12: Debug:upload phone info "[]"
12:28:16: Debug:upload phone info "[]"
12:28:16: Debug:upload phone info "[]"
12:28:20: Debug:upload phone info "[]"
12:28:20: Debug:upload phone info "[]"
12:28:24: Debug:upload phone info "[]"
12:28:24: Debug:upload phone info "[]"
12:28:28: Debug:upload phone info "[]"
12:28:28: Debug:upload phone info "[]"
12:28:32: Debug:upload phone info "[]"
12:28:32: Debug:upload phone info "[]"
12:28:36: Debug:upload phone info "[]"
12:28:36: Debug:upload phone info "[]"
12:28:40: Debug:upload phone info "[]"
12:28:40: Debug:upload phone info "[]"
12:28:44: Debug:upload phone info "[]"
12:28:44: Debug:upload phone info "[]"
12:28:48: Debug:upload phone info "[]"
12:28:48: Debug:upload phone info "[]"
12:28:52: Debug:upload phone info "[]"
12:28:52: Debug:upload phone info "[]"
12:28:56: Debug:upload phone info "[]"
12:28:56: Debug:upload phone info "[]"
12:29:00: Debug:upload phone info "[]"
12:29:00: Debug:upload phone info "[]"
12:29:04: Debug:upload phone info "[]"
12:29:04: Debug:upload phone info "[]"
12:29:08: Debug:upload phone info "[]"
12:29:08: Debug:upload phone info "[]"
12:29:12: Debug:upload phone info "[]"
12:29:12: Debug:upload phone info "[]"
12:29:16: Debug:upload phone info "[]"
12:29:16: Debug:upload phone info "[]"
12:29:20: Debug:upload phone info "[]"
12:29:20: Debug:upload phone info "[]"
12:29:24: Debug:upload phone info "[]"
12:29:24: Debug:upload phone info "[]"
12:29:28: Debug:upload phone info "[]"
12:29:28: Debug:upload phone info "[]"
12:29:32: Debug:upload phone info "[]"
12:29:32: Debug:upload phone info "[]"
12:29:36: Debug:upload phone info "[]"
12:29:36: Debug:upload phone info "[]"
12:29:40: Debug:upload phone info "[]"
12:29:40: Debug:upload phone info "[]"
12:29:44: Debug:upload phone info "[]"
12:29:44: Debug:upload phone info "[]"
12:29:48: Debug:upload phone info "[]"
12:29:48: Debug:upload phone info "[]"
12:29:52: Debug:upload phone info "[]"
12:29:52: Debug:upload phone info "[]"
12:29:56: Debug:upload phone info "[]"
